epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2431.56,1.33491,0.90521,1.04252,0.57758,0.36694,0.37787,0.20629,1.35371,0.86246,1.02794,0.00789628,0.00789628,0.00789628
63,2474.62,1.34578,0.91451,1.04529,0.57449,0.36408,0.38159,0.20712,1.35,0.85956,1.02677,0.00783231,0.00783231,0.00783231
64,2511.51,1.33912,0.90898,1.04595,0.56119,0.36693,0.37679,0.20631,1.34683,0.85716,1.02546,0.00776766,0.00776766,0.00776766
65,2548.53,1.32548,0.89589,1.03904,0.60001,0.36229,0.38777,0.20905,1.34738,0.85517,1.02635,0.00770234,0.00770234,0.00770234
66,2585.41,1.33515,0.90303,1.0419,0.57271,0.37801,0.38419,0.20759,1.34482,0.85242,1.02553,0.00763637,0.00763637,0.00763637
67,2620.62,1.32747,0.89934,1.03976,0.54953,0.36683,0.37879,0.20741,1.34965,0.85139,1.02659,0.00756976,0.00756976,0.00756976
68,2658.93,1.33438,0.90041,1.04029,0.59936,0.35585,0.38708,0.21267,1.34782,0.85371,1.02503,0.00750252,0.00750252,0.00750252
69,2699.06,1.32931,0.89831,1.03732,0.57844,0.36719,0.38828,0.20956,1.34868,0.85131,1.02597,0.00743468,0.00743468,0.00743468
70,2735.44,1.32658,0.89236,1.03808,0.56481,0.36762,0.38484,0.20873,1.3498,0.85082,1.02547,0.00736625,0.00736625,0.00736625
71,2777.8,1.32585,0.89428,1.03643,0.58939,0.36252,0.39206,0.21296,1.34549,0.84525,1.0241,0.00729725,0.00729725,0.00729725
72,2816.11,1.32907,0.89103,1.03883,0.58733,0.36715,0.38007,0.20725,1.34441,0.84601,1.02494,0.0072277,0.0072277,0.0072277
73,2852.98,1.32238,0.89059,1.03595,0.56024,0.36957,0.38228,0.20891,1.34371,0.84495,1.02361,0.00715761,0.00715761,0.00715761
74,2887.54,1.31938,0.88312,1.03346,0.59599,0.36528,0.3807,0.20955,1.34203,0.84265,1.02383,0.007087,0.007087,0.007087
75,2925.15,1.31946,0.88583,1.03442,0.55566,0.37544,0.38073,0.20814,1.33783,0.84305,1.01983,0.00701588,0.00701588,0.00701588
76,2963.3,1.3245,0.8852,1.03719,0.57269,0.36074,0.37402,0.20538,1.33693,0.84101,1.02009,0.00694428,0.00694428,0.00694428
77,3000.67,1.31855,0.88095,1.03306,0.56767,0.37936,0.38088,0.20878,1.33955,0.84245,1.0207,0.00687222,0.00687222,0.00687222
78,3036.82,1.3191,0.87523,1.03129,0.54625,0.37626,0.3804,0.20906,1.33958,0.8379,1.0205,0.0067997,0.0067997,0.0067997
79,3073.92,1.32104,0.88141,1.03446,0.54628,0.37662,0.38537,0.21156,1.34071,0.84324,1.02114,0.00672675,0.00672675,0.00672675
80,3109.29,1.30984,0.86674,1.02886,0.55854,0.37357,0.38115,0.21168,1.34107,0.84082,1.02111,0.00665339,0.00665339,0.00665339
81,3147.65,1.31153,0.87527,1.03004,0.5751,0.3639,0.38615,0.2126,1.34073,0.84186,1.0203,0.00657963,0.00657963,0.00657963
82,3182.24,1.31418,0.87536,1.0321,0.5454,0.3802,0.3859,0.21351,1.33629,0.83485,1.01875,0.0065055,0.0065055,0.0065055
83,3223.81,1.30671,0.86874,1.02958,0.56399,0.36941,0.38669,0.21365,1.33517,0.83479,1.01845,0.00643101,0.00643101,0.00643101
84,3262.54,1.31244,0.8724,1.03108,0.54386,0.38065,0.38479,0.21268,1.33552,0.83538,1.01812,0.00635617,0.00635617,0.00635617
85,3300.55,1.30957,0.872,1.03074,0.54445,0.37525,0.3833,0.21166,1.33336,0.83385,1.01773,0.00628101,0.00628101,0.00628101
86,3341.97,1.3091,0.86959,1.02934,0.52103,0.38311,0.39088,0.21322,1.3343,0.83283,1.01787,0.00620555,0.00620555,0.00620555
87,3377.95,1.29799,0.85937,1.02425,0.53754,0.39122,0.38442,0.21206,1.33408,0.83334,1.01774,0.00612981,0.00612981,0.00612981
88,3412.7,1.29762,0.85856,1.02489,0.55,0.37723,0.3812,0.20953,1.33357,0.83291,1.01665,0.0060538,0.0060538,0.0060538
89,3449.45,1.30364,0.86137,1.025,0.56174,0.37279,0.38799,0.21248,1.33382,0.83332,1.01682,0.00597754,0.00597754,0.00597754
90,3493.29,1.29869,0.85611,1.02499,0.54435,0.38177,0.39058,0.21489,1.33279,0.8299,1.01615,0.00590105,0.00590105,0.00590105
91,3529.74,1.29662,0.85523,1.02521,0.5598,0.38513,0.393,0.21533,1.33155,0.82943,1.01579,0.00582435,0.00582435,0.00582435
92,3569.63,1.30816,0.85904,1.02755,0.57226,0.39408,0.39388,0.21574,1.33101,0.82792,1.01645,0.00574746,0.00574746,0.00574746
93,3606.78,1.29879,0.85499,1.02591,0.54734,0.38637,0.39196,0.21524,1.33169,0.82678,1.0162,0.0056704,0.0056704,0.0056704
94,3648.82,1.29908,0.85297,1.02216,0.57536,0.37315,0.38963,0.2142,1.33083,0.82669,1.01568,0.00559318,0.00559318,0.00559318
95,3688.05,1.29852,0.85102,1.02235,0.59971,0.36657,0.39373,0.21627,1.33077,0.8261,1.01592,0.00551584,0.00551584,0.00551584
96,3726.23,1.29788,0.85036,1.02395,0.61421,0.36378,0.3933,0.21713,1.32945,0.82617,1.01451,0.00543837,0.00543837,0.00543837
97,3764.65,1.29636,0.8492,1.02298,0.60496,0.36109,0.39166,0.21549,1.32992,0.82591,1.01489,0.00536081,0.00536081,0.00536081
