               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.044777,             0.06438,            0.007046,             0.62188,             0.39805,              0.4174,             0.21464,            0.043756,            0.052245,           0.0073054,            0.007723,            0.007723,            0.007723
                  48,            0.044985,            0.064859,           0.0069567,              0.6476,             0.39038,             0.41672,              0.2141,            0.043698,            0.051946,           0.0071676,           0.0076735,           0.0076735,           0.0076735
                  49,            0.044796,            0.063899,           0.0068874,             0.67163,             0.38094,             0.42184,             0.21525,            0.043614,            0.052029,           0.0071156,            0.007624,            0.007624,            0.007624
                  50,            0.044863,            0.064555,            0.006913,             0.63265,              0.3945,             0.41496,             0.21676,            0.043611,            0.052262,           0.0071222,           0.0075745,           0.0075745,           0.0075745
                  51,            0.044639,             0.06384,           0.0069473,             0.64554,             0.39169,             0.41929,             0.21718,            0.043513,            0.051904,           0.0071821,            0.007525,            0.007525,            0.007525
                  52,            0.044597,            0.064419,           0.0067577,             0.64623,             0.38396,             0.42032,             0.21374,            0.043478,            0.051954,           0.0071893,           0.0074755,           0.0074755,           0.0074755
                  53,            0.044532,            0.063873,           0.0067406,             0.66362,             0.37664,              0.4161,             0.21842,            0.043503,            0.052094,           0.0071523,            0.007426,            0.007426,            0.007426
                  54,            0.044557,            0.063219,           0.0067658,             0.64556,             0.39819,             0.41638,             0.21726,            0.043298,            0.051775,           0.0072858,           0.0073765,           0.0073765,           0.0073765
                  55,            0.044464,            0.063264,           0.0066624,             0.65913,             0.37698,             0.41578,             0.21606,            0.043492,             0.05189,           0.0071651,            0.007327,            0.007327,            0.007327
                  56,            0.044369,            0.063586,            0.006681,             0.66982,             0.37413,             0.42206,             0.22226,            0.043406,            0.051962,           0.0070544,           0.0072775,           0.0072775,           0.0072775
                  57,            0.044384,            0.063326,           0.0066406,             0.65504,             0.39603,             0.43061,             0.22549,            0.043281,            0.051639,            0.007122,            0.007228,            0.007228,            0.007228
                  58,            0.044115,            0.063095,           0.0065875,             0.65839,             0.39385,             0.42933,             0.22244,            0.043176,            0.051727,           0.0071059,           0.0071785,           0.0071785,           0.0071785
                  59,            0.044289,            0.063169,           0.0066235,              0.6512,             0.38688,             0.42122,              0.2189,            0.043194,            0.051739,           0.0071033,            0.007129,            0.007129,            0.007129
                  60,            0.043893,            0.064264,           0.0064641,             0.61067,             0.41204,             0.42341,             0.22097,            0.043102,             0.05182,           0.0072501,           0.0070795,           0.0070795,           0.0070795
                  61,            0.044087,            0.063245,           0.0063439,             0.65822,             0.40345,             0.43177,              0.2254,             0.04307,            0.051415,           0.0070184,             0.00703,             0.00703,             0.00703
                  62,            0.044073,            0.063724,            0.006482,             0.64932,             0.39312,              0.4214,             0.21958,            0.043082,            0.051676,           0.0071111,           0.0069805,           0.0069805,           0.0069805
                  63,            0.043944,             0.06364,           0.0064079,             0.63281,             0.40452,             0.43452,             0.22601,            0.043081,            0.051569,           0.0069966,            0.006931,            0.006931,            0.006931
                  64,            0.044119,            0.063871,           0.0062911,             0.69698,             0.39966,             0.44083,             0.23136,            0.043041,            0.051733,           0.0069235,           0.0068815,           0.0068815,           0.0068815
                  65,            0.043981,            0.063132,           0.0063851,             0.66314,             0.39752,             0.43225,             0.22751,            0.042978,            0.051472,           0.0069973,            0.006832,            0.006832,            0.006832
                  66,            0.043838,            0.063147,           0.0064342,             0.61985,              0.4161,             0.42881,             0.22303,            0.043019,            0.051541,           0.0070894,           0.0067825,           0.0067825,           0.0067825
                  67,            0.043722,            0.062514,           0.0063736,             0.64221,             0.40987,             0.43073,             0.22663,            0.042881,              0.0515,           0.0070004,            0.006733,            0.006733,            0.006733
                  68,            0.043712,            0.062702,           0.0063301,             0.64697,             0.40306,             0.42701,             0.22535,            0.042911,            0.051454,            0.007001,           0.0066835,           0.0066835,           0.0066835
                  69,            0.043916,            0.064181,           0.0063814,             0.61409,             0.41906,             0.43464,             0.22705,            0.042932,            0.051468,           0.0069863,            0.006634,            0.006634,            0.006634
                  70,            0.043604,            0.062595,           0.0061485,             0.67252,             0.39421,             0.43305,             0.22969,            0.042855,            0.051419,           0.0069225,           0.0065845,           0.0065845,           0.0065845
                  71,            0.043666,            0.062818,           0.0063441,              0.6577,              0.3996,             0.43439,             0.22896,            0.042878,             0.05146,           0.0070391,            0.006535,            0.006535,            0.006535
                  72,            0.043693,            0.063116,            0.006286,             0.66576,             0.40009,             0.42954,             0.22739,            0.042871,            0.051487,           0.0070556,           0.0064855,           0.0064855,           0.0064855
                  73,            0.043489,             0.06217,           0.0061709,             0.69415,             0.39168,             0.43671,             0.22919,            0.042776,            0.051345,           0.0069868,            0.006436,            0.006436,            0.006436
                  74,            0.043635,            0.062561,           0.0061811,             0.68415,             0.39128,             0.43806,             0.23146,            0.042665,             0.05129,           0.0070513,           0.0063865,           0.0063865,           0.0063865
                  75,            0.043478,            0.062336,           0.0060985,             0.67425,             0.40889,             0.43773,              0.2268,             0.04273,            0.051334,           0.0070786,            0.006337,            0.006337,            0.006337
                  76,            0.043612,            0.062464,           0.0061813,             0.64867,             0.40769,             0.43844,             0.22926,            0.042667,            0.051312,           0.0069928,           0.0062875,           0.0062875,           0.0062875
                  77,            0.043454,            0.062378,           0.0061584,             0.67568,             0.39174,             0.43911,             0.22966,            0.042671,            0.051338,           0.0069378,            0.006238,            0.006238,            0.006238
                  78,            0.043393,            0.062642,           0.0060192,             0.64582,              0.3971,             0.43507,             0.22838,            0.042729,            0.051373,           0.0069844,           0.0061885,           0.0061885,           0.0061885
                  79,            0.043196,            0.062796,            0.006068,             0.66618,             0.38937,             0.43062,             0.22585,            0.042753,            0.051327,           0.0070803,            0.006139,            0.006139,            0.006139
                  80,            0.043217,            0.062384,           0.0059348,             0.65517,             0.40307,             0.43379,             0.22833,            0.042632,             0.05128,           0.0070153,           0.0060895,           0.0060895,           0.0060895
                  81,            0.043408,            0.062543,           0.0059777,             0.68641,             0.39718,             0.43676,             0.23124,            0.042625,            0.051282,            0.007082,             0.00604,             0.00604,             0.00604
                  82,            0.043178,            0.061803,           0.0059702,             0.66673,             0.39726,             0.43631,             0.23111,            0.042537,            0.051324,           0.0070295,           0.0059905,           0.0059905,           0.0059905
                  83,            0.043208,            0.062247,           0.0059866,             0.69602,             0.39841,             0.44101,              0.2333,            0.042492,            0.051288,           0.0068855,            0.005941,            0.005941,            0.005941
                  84,            0.043286,            0.062267,           0.0059462,             0.67443,             0.41529,             0.44465,             0.23531,            0.042461,            0.051229,            0.006908,           0.0058915,           0.0058915,           0.0058915
                  85,            0.043154,            0.062029,            0.005762,             0.67937,             0.40019,             0.44317,             0.23223,            0.042531,            0.051298,           0.0068911,            0.005842,            0.005842,            0.005842
                  86,            0.042948,            0.062327,           0.0058319,             0.71255,             0.38612,             0.43956,             0.23223,             0.04254,            0.051347,            0.006841,           0.0057925,           0.0057925,           0.0057925
                  87,            0.043055,            0.062595,           0.0059388,              0.6711,             0.40142,              0.4444,             0.23308,             0.04252,            0.051341,           0.0068949,            0.005743,            0.005743,            0.005743
                  88,             0.04308,            0.062759,           0.0059065,              0.7055,             0.39614,             0.44438,             0.23537,            0.042409,            0.051191,            0.006885,           0.0056935,           0.0056935,           0.0056935
                  89,            0.042904,             0.06223,           0.0057982,             0.68551,             0.40304,             0.44265,             0.23464,            0.042425,            0.051228,           0.0068922,            0.005644,            0.005644,            0.005644
                  90,            0.042846,            0.062265,           0.0058681,             0.71612,             0.37933,             0.43962,             0.23331,            0.042409,            0.051129,           0.0069111,           0.0055945,           0.0055945,           0.0055945
                  91,            0.042949,            0.061887,           0.0057736,             0.64433,             0.40743,             0.43681,             0.23214,            0.042412,            0.051185,           0.0069862,            0.005545,            0.005545,            0.005545
                  92,            0.042785,            0.061279,           0.0057817,              0.6348,              0.4123,              0.4374,             0.23239,            0.042389,            0.051202,           0.0069821,           0.0054955,           0.0054955,           0.0054955
                  93,             0.04302,            0.062152,           0.0057029,             0.65296,             0.39889,             0.43734,             0.23132,             0.04238,             0.05118,           0.0070324,            0.005446,            0.005446,            0.005446
                  94,            0.042767,            0.061384,           0.0055962,             0.64731,             0.40765,             0.43585,             0.23186,            0.042387,            0.051174,           0.0069449,           0.0053965,           0.0053965,           0.0053965
                  95,            0.042698,            0.060869,            0.005575,             0.66465,              0.3955,             0.43838,             0.23289,            0.042406,            0.051204,           0.0069484,            0.005347,            0.005347,            0.005347
                  96,              0.0427,            0.061324,            0.005612,             0.64886,             0.41159,             0.44072,             0.23393,            0.042389,            0.051199,           0.0069543,           0.0052975,           0.0052975,           0.0052975
                  97,            0.042592,            0.061419,           0.0055915,             0.68289,             0.39379,             0.44313,             0.23438,             0.04237,            0.051215,           0.0069703,            0.005248,            0.005248,            0.005248
                  98,            0.042544,            0.061404,           0.0055435,             0.66086,             0.40235,             0.44256,             0.23348,            0.042346,            0.051178,           0.0069995,           0.0051985,           0.0051985,           0.0051985
                  99,             0.04267,            0.061145,            0.005707,             0.69015,             0.39529,             0.44357,             0.23332,             0.04232,            0.051217,           0.0069885,            0.005149,            0.005149,            0.005149
