epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,1216.32,1.37626,0.96349,1.0614,0.58369,0.29414,0.30053,0.1575,1.42909,0.96233,1.06974,0.0054955,0.0054955,0.0054955
93,1228.59,1.38121,0.97213,1.0651,0.51197,0.31491,0.30035,0.15787,1.43078,0.95607,1.06747,0.005446,0.005446,0.005446
94,1241.07,1.3908,0.98212,1.06824,0.4893,0.30082,0.30051,0.15716,1.43308,0.95537,1.06764,0.0053965,0.0053965,0.0053965
95,1253.5,1.36074,0.955,1.06252,0.46123,0.32365,0.30523,0.16354,1.42049,0.95376,1.06506,0.005347,0.005347,0.005347
96,1266.05,1.37752,0.96616,1.06602,0.51396,0.2953,0.29873,0.15524,1.42883,0.95395,1.06763,0.0052975,0.0052975,0.0052975
97,1279.1,1.37407,0.95999,1.06316,0.50436,0.30429,0.30091,0.15956,1.43282,0.96053,1.07218,0.005248,0.005248,0.005248
98,1292.3,1.3875,0.96841,1.06822,0.50427,0.31796,0.31152,0.16458,1.42337,0.94748,1.0638,0.0051985,0.0051985,0.0051985
99,1307.65,1.3581,0.95367,1.0596,0.5368,0.29975,0.31155,0.16347,1.42967,0.94645,1.06776,0.005149,0.005149,0.005149
100,1320.64,1.36858,0.96242,1.06552,0.51149,0.31143,0.30556,0.16367,1.42613,0.95419,1.06842,0.0050995,0.0050995,0.0050995
101,1332.84,1.36521,0.95034,1.06044,0.48389,0.31672,0.31006,0.16086,1.42243,0.95443,1.07083,0.00505,0.00505,0.00505
102,1345.67,1.35435,0.9386,1.05573,0.5209,0.29669,0.31139,0.1655,1.42405,0.93657,1.06841,0.0050005,0.0050005,0.0050005
103,1358.19,1.36273,0.94805,1.0558,0.5356,0.3039,0.31881,0.16858,1.42118,0.94085,1.06908,0.004951,0.004951,0.004951
104,1370.96,1.37013,0.94382,1.05803,0.48595,0.33114,0.31364,0.16576,1.41947,0.93847,1.06566,0.0049015,0.0049015,0.0049015
105,1383.17,1.36721,0.95037,1.06514,0.46344,0.32387,0.30925,0.16373,1.42456,0.94461,1.06946,0.004852,0.004852,0.004852
106,1395.49,1.36326,0.94683,1.05763,0.51617,0.31394,0.31535,0.16727,1.41634,0.94141,1.06226,0.0048025,0.0048025,0.0048025
107,1408.32,1.33567,0.91425,1.04282,0.51732,0.30218,0.30179,0.16007,1.42275,0.94387,1.06623,0.004753,0.004753,0.004753
108,1420.73,1.35326,0.937,1.05905,0.51338,0.30951,0.31131,0.16548,1.41646,0.94374,1.06361,0.0047035,0.0047035,0.0047035
109,1432.98,1.3438,0.92328,1.05501,0.47712,0.31931,0.30849,0.16785,1.41971,0.94414,1.0671,0.004654,0.004654,0.004654
110,1450.24,1.34553,0.93141,1.05268,0.48569,0.30763,0.30215,0.16109,1.4161,0.94647,1.0628,0.0046045,0.0046045,0.0046045
111,1462.35,1.35085,0.93757,1.04993,0.51797,0.30294,0.31478,0.16685,1.41646,0.93366,1.06461,0.004555,0.004555,0.004555
112,1475.15,1.35468,0.93364,1.05523,0.40703,0.30171,0.31507,0.16778,1.41481,0.93565,1.06114,0.0045055,0.0045055,0.0045055
113,1487.51,1.35753,0.93476,1.05171,0.50061,0.32482,0.31927,0.17127,1.4138,0.9281,1.06196,0.004456,0.004456,0.004456
114,1499.71,1.34501,0.93016,1.04855,0.50696,0.32389,0.31534,0.16982,1.41803,0.93907,1.06827,0.0044065,0.0044065,0.0044065
115,1511.88,1.34264,0.92048,1.04599,0.52228,0.31776,0.31497,0.16511,1.41114,0.93409,1.06033,0.004357,0.004357,0.004357
116,1524.24,1.33969,0.91599,1.04746,0.51358,0.31427,0.31222,0.16615,1.4092,0.9319,1.06033,0.0043075,0.0043075,0.0043075
117,1536.55,1.35081,0.93798,1.05726,0.48227,0.3275,0.31469,0.16669,1.40457,0.93128,1.06187,0.004258,0.004258,0.004258
118,1549.11,1.33086,0.91696,1.04679,0.50611,0.31039,0.31226,0.16433,1.42104,0.93894,1.06157,0.0042085,0.0042085,0.0042085
119,1562.94,1.33754,0.90846,1.04542,0.50604,0.33426,0.31895,0.16812,1.41116,0.93272,1.06431,0.004159,0.004159,0.004159
